monitoringSiteIdentifier,monitoringSiteIdentifierScheme,phenomenonTimeReferenceYear,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,resultEmissionsUom,resultEmissionsValue,procedureEstimateDetail,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
SE733351-187900,eionetMonitoringSiteCode,2017,CAS_14265-44-2,Phosphate,t/a,31,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4282
SE733351-187900,eionetMonitoringSiteCode,2018,CAS_14265-44-2,Phosphate,t/a,44.2,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4303
SE733351-187900,eionetMonitoringSiteCode,2019,CAS_14265-44-2,Phosphate,t/a,43.2,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4324
SE678924-156862,euMonitoringSiteCode,2017,CAS_14265-44-2,Phosphate,t/a,6.66,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3988
SE678924-156862,euMonitoringSiteCode,2018,CAS_14265-44-2,Phosphate,t/a,6.67,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4009
SE678924-156862,euMonitoringSiteCode,2019,CAS_14265-44-2,Phosphate,t/a,7.29,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4030
SE678924-156862,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,7.59,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4051
SE683661-156793,euMonitoringSiteCode,2014,CAS_14265-44-2,Phosphate,t/a,1.46,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4072
SE683661-156793,euMonitoringSiteCode,2015,CAS_14265-44-2,Phosphate,t/a,2.25,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4093
SE683661-156793,euMonitoringSiteCode,2016,CAS_14265-44-2,Phosphate,t/a,0.969,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4114
