Number,Data
515,M21|NL92_IJSSELMEER
516,M21|NL92_MARKERMEER
517,M23|NL13_17_2
518,M23|NL13_35
519,M23|NL13_36
520,M23|NL15_07
521,M23|NL15_08
522,M27|NL13_07
523,M27|NL13_11
524,M27|NL13_12
525,M27|NL13_13
526,M27|NL13_20
527,M3
528,M3/19
529,M3/8
530,M30|NL13_31
531,M30|NL87_1
532,M30|NL89_kantnzgt
533,M32|NL89_grevlemr
534,M32|NL89_veersmr
535,M3|NL05_Veeneleiding
536,M3|NL13_25_2
537,M3|NL13_26_2
538,M3|NL13_27_2
539,M3|NL13_28
540,M3|NL13_29
541,M3|NL13_46
542,M3|NL14_05
543,M3|NL14_08
544,M3|NL14_09
545,M3|NL14_12
546,M3|NL14_13
547,M3|NL14_15
548,M3|NL14_18
549,M3|NL14_21
550,M3|NL14_23
551,M3|NL14_24
552,M3|NL14_25
553,M3|NL14_31
554,M3|NL15_02
555,M3|NL15_04
556,M3|NL15_05
557,M3|NL36_OWM_001
558,M4
559,M4   
560,M5
561,M6a|NL13_44
562,M6a|NL13_47
563,M6b|NL14_10
564,M6b|NL14_16
565,M6b|NL14_27
566,M6b|NL90_1
567,M7b|NL13_38_2
568,M7b|NL13_40_2
569,M7b|NL14_07
570,M7b|NL15_01
571,M7b|NL86_6
572,M7b|NL93_TWENTHEKANALEN
573,M8|NL13_18
574,M8|NL13_19
575,M8|NL14_26
576,M8|NL14_28
577,M8|NL14_30
578,M9
579,M9-10/21
580,M9-A
581,M9A
582,MA
583,MP15
584,MP15/5
585,MP18
586,MP2
587,MP6
588,MRh
589,MT - 2
590,MT - H1
591,MT - me2
592,"MZB_10_1,75"
593,MZB_10_2
594,"MZB_11_1,75"
595,"MZB_12_1,75"
596,MZB_13_2
597,"MZB_15_1,75"
598,"MZB_16_1,75"
599,MZB_16_2
600,"MZB_17_1,75"
601,MZB_18_2
602,"MZB_2_1,5"
603,"MZB_2_1,75"
604,"MZB_3_1,5"
605,"MZB_4_1,25"
606,"MZB_5_1,5"
607,"MZB_5_1,75"
608,"MZB_6_1,5"
609,"MZB_9_1,75"
610,Ma
611,Ma        
612,"Marl, Shallow, Large, Lowland"
613,Mb
614,Mb        
615,Mc        
616,Mf
617,Mf        
618,Mh
619,Mid-altitude Calcareous Large
620,Mid-altitude Calcareous Medium
621,Mid-altitude Calcareous Small
622,Mid-altitude Low alkalinity Large Deep
623,Mid-altitude Medium alkalinity Large Deep
624,Mid-altitude Organic Medium
625,Mid-altitude Organic Small
626,Mid-altitude Siliceous Large
627,Mid-altitude Siliceous Medium
628,Mid-altitude Siliceous Small
629,Mlz_132
630,Mlz_40
631,Mlz_41
632,Mlz_95
633,"Moderate Alkalinity, Shallow, Large, Lowland"
634,Norte
635,"North of L. norrlandicus, Water colour<30 mg Pt/l"
636,"North of L. norrlandicus, Water colour>30 mg Pt/l"
637,"North of Limes norrlandicus, colour<30 mg Pt/l"
638,"North of Limes norrlandicus, colour>30 mg Pt/l"
639,"Organic, Shallow, Large, Lowland"
640,"Organic, Shallow, Large, Mid-Altitude"
641,"Organic, Very Shallow, Large, Lowland"
642,"Organic, Very Shallow, Large, Mid-Altitude"
643,P
644,P1
645,P10
646,P11
647,P11/3-21
648,P12-A
649,P12-B
650,P13
651,P14
652,P14/1
653,P17
654,P17/3-21
655,P18/4
656,P19
657,P1S
658,P2(K3V)
659,P20
660,P21
661,P22
662,P3
663,P4
664,P5
665,P9
666,P9-A
667,P9A
668,PTP16-A
669,PTP8
670,PTP8-A
671,Pb
672,Ph
673,Pk
674,PoLa
675,Pt
676,R-A2
677,R-C
678,R-M1
679,R-M2
680,R-M4
681,R-M5
682,R1
683,R10
684,R12
685,R13
686,R14
687,R16
688,R2
689,R2(P1V)
690,R3
691,R4
692,R5
693,R5|NL05_Azelerbeek
694,R5|NL05_Bolscherbeek
695,R5|NL05_Bornsebeek
696,R5|NL05_Bovenregge
697,R5|NL05_Broekbeek
698,R5|NL05_Drienerbeek
699,R5|NL05_Elsbeek
700,R5|NL05_Elsenerbeek
701,R5|NL05_Entergraven
702,R5|NL05_Gammelkerbeek
703,R5|NL05_Geelebeek
704,R5|NL05_Geesterschemolenbk
705,R5|NL05_Glanerbeek
706,R5|NL05_Hagmolenbeek
707,R5|NL05_Hammerwetering
708,R5|NL05_Hoogelaarsleiding
709,R5|NL05_Itterbeek
710,R5|NL05_Lolee
711,R5|NL05_Markgraven
712,R5|NL05_Oudebornschebeek
713,R5|NL05_Poelsbeek
714,R5|NL05_Puntbeek
715,R5|NL05_Ruenbergerbeek
716,R5|NL05_Tilligterbeek
717,R5|NL36_OWM_002
718,R5|NL36_OWM_004
719,R5|NL36_OWM_005
720,R5|NL36_OWM_006
721,R5|NL36_OWM_009
722,R5|NL36_OWM_010
723,R5|NL36_OWM_011
724,R5|NL36_OWM_012
725,R6
726,R6+
727,R6|NL05_Benedendinkel
728,R6|NL05_Benedenregge
729,R6|NL05_Bovendinkel
730,R6|NL05_Exoscheaa
731,R6|NL05_Linderbeek
732,R6|NL05_Middendinkel
733,R6|NL05_Middenregge
734,R6|NL14_02
735,R6|NL36_OWM_014
736,R7
737,R8
738,REL1211
739,REL1221
740,REL1223
741,REL1311
742,REL1313
743,REL1321
744,REL1323
745,REL2221
746,REL2311
747,REL2321
748,REL3311
749,REL5311
750,REL5321
751,REM1211
752,REM1221
753,REM1311
754,REM1321
755,REM2211
756,REM2221
757,REM2311
758,REM2321
759,REM3211
760,REM3311
761,REM3321
762,REM4211
763,REM4311
764,RIV_01_Natural
765,RIV_02_Natural
766,RIV_03_HMWB
767,RIV_03_Natural
768,RIV_04_Natural
769,RIV_05_Natural
770,RIV_06_Natural
771,RIV_07_Natural
772,RIV_08_Natural
773,RIV_09_HMWB
774,RIV_09_Natural
775,RIV_10_Natural
776,RIV_11_Natural
777,RIV_12_Natural
778,RIV_13_HMWB
779,RIV_13_Natural
780,RIV_14_HMWB
781,RIV_14_Natural
782,RIV_15_Natural
783,RIV_16_Natural
784,RIV_17_HMWB
785,RIV_18_Natural
786,RIV_19_HMWB
787,RIV_20_HMWB
788,RIV_20_Natural
789,RIV_21_HMWB
790,RIV_22_AWB
791,RIV_22_HMWB
792,RIV_22_Natural
793,RIV_23_HMWB
794,RIV_24_AWB
795,RIV_24_Natural
796,RIV_25_AWB
797,RO01
798,RO01CAPM
799,RO01a 
800,RO01aCAPM
801,RO02
802,RO02CAPM
803,RO02aCAPM
804,RO03
805,RO03CAPM
806,RO05
807,RO05*
808,RO05*CAPM
809,RO05CAPM
810,RO05aCAPM
811,RO06
812,RO06CAPM
813,RO07
814,RO07CAPM
815,RO08
816,RO10
817,RO10*
818,RO10CAPM
819,RO11
820,RO11*
821,RO11*CAPM
822,RO11CAPM
823,RO11aCAPM
824,RO12CAPM
825,RO13
826,RO13CAPM
827,RO14
828,RO14CAPM
829,RO15
830,RO15CAPM
831,RO16
832,RO19CAPM
833,ROLA01
834,ROLA02
835,ROLA04
836,ROLA05
837,ROLA07
838,ROLA08
839,ROLA08a
840,ROLA10
841,ROLA10a
842,ROLA12
843,ROLN03
844,ROLN06
845,ROLN12
846,ROLNCAPMLA01
847,ROLNCAPMLA02
848,ROLNPM01
849,R_SI_11PN-KrBr-kotl_2
850,R_SI_11PN-zALvpliv_3
851,R_SI_11_PN-KrBr-kotl_2
852,R_SI_11_PN-zALvpliv_3
853,R_SI_11_VR6-PN-Sa-raz
854,R_SI_11_VR6_PN-Sa
855,R_SI_11_VR7-Kk
856,R_SI_11_VR7_Kk
857,R_SI_11_VR8-medAL-Dr
858,R_SI_11_VR8_medAL-Dr
859,R_SI_11_VR9-Mu-ravDr
860,R_SI_11_VR9_Mu-ravDr
861,R_SI_3_Vip-Brda_2
862,R_SI_4_KB-AL-D_1_KI
863,R_SI_4_KB-AL-D_2
864,R_SI_4_KB-AL-J_1_KI
865,R_SI_4_PA-hrib-J_2
866,R_SI_4_VR1-AL-Sa
867,R_SI_4_VR1_AL-Sa
868,R_SI_5_ED-hrib_2_KI
869,R_SI_5_Obalna_1_Pres
870,R_SI_5_SM-hrib-brez_2_Pres
871,R_SI_5_VR2-So
872,R_SI_5_VR2_So
873,R_SI_5_VR3_DN-Sa
874,R_SI_5_VR4-Lj
875,R_SI_5_VR4_Lj
876,R_SI_5_VR5-Ko
877,R_SI_5_VR5_Ko
878,Rg
879,Rg_104
880,Rg_106
881,Rg_149
882,Rg_150
883,Rg_151
884,Rg_161
885,Rg_164
886,Rg_181
887,Rg_48
888,Rg_55
889,Rg_58
890,Rg_67
891,Rg_71
892,Rg_80
893,Rg_82
894,Rg_9
895,Rg_92
896,Rg_93
897,Rh
898,Rios Montanhosos do Norte
899,Rios Montanhosos do Sul
900,Rios de Transição Norte-Sul
901,Rios do Alto Douro de Média-Grande Dimensão
902,Rios do Litoral Centro
